galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
517,4.1626e-40,1.3801e-41,5.4571e-40,1.8597e-41,7.9098e-40,1.7484e-41,1.0265e-39,2.2691e-41,4.3427e-39,6.3997e-41,1.5826e-38,2.4779e-40,4.5558e-38,4.1961e-40,2.3343e-40,4.73e-42,2.612e-39,1.684e-41,1.249e-38,5.7519e-41,2.9038e-38,1.3372e-40,5.2646e-38,2.4244e-40,0.021
518,1.8213e-41,4.86e-43,3.0421e-41,7.85e-43,4.4337e-41,6.94e-43,5.9152e-41,9.26e-43,3.1417e-40,3.182e-42,1.9425e-39,1.6102e-41,7.0011e-39,3.2241e-41,8.008e-42,1.56e-43,1.8879e-40,8.69e-43,1.46e-39,4.034e-42,4.1569e-39,7.657e-42,8.709e-39,1.6042e-41,0.021
519,2.1146e-41,5.65e-43,3.2391e-41,8.06e-43,4.8845e-41,9e-43,6.0706e-41,1.006e-42,3.6883e-40,3.397e-42,2.3639e-39,1.7418e-41,9.5242e-39,3.5089e-41,1.0482e-41,1.93e-43,2.1638e-40,9.96e-43,1.7784e-39,4.914e-42,5.3805e-39,9.911e-42,1.2079e-38,2.225e-41,0.021
520,1.9044e-40,1.579e-42,2.6336e-40,2.668e-42,3.5136e-40,2.266e-42,4.5473e-40,2.932e-42,2.3364e-39,1.0759e-41,9.9942e-39,3.682e-41,3.1634e-38,5.8272e-41,1.0758e-40,6.94e-43,1.3519e-39,2.49e-42,7.7509e-39,7.138e-42,1.938e-38,1.785e-41,3.8102e-38,3.5094e-41,0.021
521,8.4682e-41,3.587e-42,1.1051e-40,5.699e-42,1.6803e-40,4.952e-42,2.4739e-40,6.836e-42,1.1646e-39,2.1454e-41,6.5613e-39,9.6691e-41,2.3067e-38,1.9121e-40,4.0493e-41,1.342e-42,6.82e-40,5.653e-42,4.8774e-39,2.2461e-41,1.3483e-38,7.451e-41,2.8118e-38,1.0359e-40,0.021
522,4.267e-42,3.1e-44,6.959e-42,5.2e-44,1.0406e-41,4.8e-44,1.4076e-41,6.4e-44,8.5055e-41,2.35e-43,6.122e-40,1.128e-42,2.5404e-39,2.34e-42,1.959e-42,1.3e-44,4.9854e-41,4.6e-44,4.4884e-40,4.13e-43,1.4155e-39,1.303e-42,3.2456e-39,0.0,0.021
523,1.1783e-40,5.42e-43,1.6954e-40,9.37e-43,2.3576e-40,8.69e-43,3.1627e-40,1.166e-42,1.6659e-39,4.603e-42,8.4423e-39,1.5552e-41,3.2067e-38,2.9535e-41,6.62e-41,2.44e-43,9.5865e-40,8.83e-43,6.3983e-39,5.892e-42,1.8183e-38,1.6747e-41,3.9234e-38,0.0,0.021
524,8.4546e-41,3.11e-43,1.2086e-40,5.56e-43,1.6394e-40,4.53e-43,2.1572e-40,5.96e-43,8.4781e-40,1.561e-42,3.1499e-39,5.803e-42,8.7719e-39,8.08e-42,4.8921e-41,1.35e-43,5.1987e-40,4.79e-43,2.509e-39,2.311e-42,5.6741e-39,5.225e-42,1.0081e-38,9.285e-42,0.021
525,9.28e-43,1.42e-43,1.871e-42,2.2e-43,3.046e-42,2.19e-43,3.966e-42,2.73e-43,2.7032e-41,1.07e-42,2.2423e-40,5.783e-42,9.8875e-40,1.1838e-41,3.67e-43,4.6e-44,1.5599e-41,2.44e-43,1.65e-40,1.52e-42,5.4436e-40,2.44e-43,1.2563e-39,4.6e-44,0.021
526,7.5138e-41,3.46e-42,1.276e-40,5.76e-42,1.6408e-40,5.139e-42,2.1412e-40,6.903e-42,1.1616e-39,2.1398e-41,6.2153e-39,9.7316e-41,2.418e-38,1.7817e-40,4.3879e-41,1.375e-42,6.7898e-40,5.628e-42,4.7017e-39,2.5983e-41,1.3787e-38,6.349e-41,2.9693e-38,1.0939e-40,0.021
527,3.4276e-40,5.682e-42,5.0095e-40,8.305e-42,6.8076e-40,8.151e-42,8.7376e-40,9.658e-42,3.7136e-39,3.0782e-41,1.5142e-38,1.1157e-40,4.3631e-38,2.0093e-40,1.8681e-40,2.236e-42,2.2667e-39,8.35e-42,1.2006e-38,3.3173e-41,2.8015e-38,7.7409e-41,5.1404e-38,9.4689e-41,0.021
528,2.8487e-40,1.05e-42,3.7277e-40,1.717e-42,4.9276e-40,1.362e-42,6.0512e-40,1.672e-42,2.7992e-39,5.157e-42,9.8501e-39,1.8144e-41,2.6881e-38,2.4758e-41,1.7196e-40,4.75e-43,1.6574e-39,1.526e-42,7.8675e-39,7.246e-42,1.7597e-38,1.6207e-41,3.1698e-38,2.9195e-41,0.021
529,2.8958e-40,5.601e-42,4.0083e-40,8.492e-42,5.6204e-40,8.283e-42,7.2006e-40,9.285e-42,3.4054e-39,3.1365e-41,1.5282e-38,1.2667e-40,5.178e-38,2.3846e-40,1.7162e-40,2.054e-42,2.0089e-39,7.402e-42,1.1873e-38,3.2807e-41,3.0801e-38,8.5106e-41,6.2599e-38,1.1531e-40,0.021
530,2.3187e-41,2.008e-42,3.8517e-41,3.05e-42,4.9575e-41,3.014e-42,7.1197e-41,3.869e-42,3.9126e-40,1.1891e-41,2.4823e-39,6.6302e-41,1.0048e-38,1.2956e-40,1.0178e-41,7.4e-43,2.3273e-40,3.43e-42,1.8487e-39,1.5325e-41,5.5983e-39,4.125e-41,1.2603e-38,8.1251e-41,0.021
531,4.2702e-40,5.113e-42,5.4657e-40,7.552e-42,6.9381e-40,7.029e-42,8.6545e-40,8.768e-42,3.5945e-39,2.3175e-41,1.0677e-38,7.867e-41,2.7293e-38,1.2569e-40,2.8447e-40,2.418e-41,2.1342e-39,5.897e-42,8.7507e-39,2.418e-41,1.8249e-38,5.0424e-41,3.1481e-38,8.6984e-41,0.021
532,7.9399e-41,6.435e-42,1.092e-40,9.554e-42,1.6048e-40,8.277e-42,2.1097e-40,1.0686e-41,1.1102e-39,3.4768e-41,5.9349e-39,1.4212e-40,2.0636e-38,3.041e-40,4.5437e-41,2.092e-42,6.4956e-40,8.974e-42,4.5732e-39,3.7908e-41,1.2129e-38,8.9368e-41,2.4993e-38,1.6114e-40,0.021
533,8.2014e-40,6.042e-42,1.0912e-39,8.039e-42,1.4331e-39,7.92e-42,1.7943e-39,9.916e-42,7.7676e-39,2.8617e-41,2.5911e-38,9.546e-41,6.6909e-38,1.8488e-40,5.0013e-40,2.304e-42,4.6504e-39,8.566e-42,2.0945e-38,1.9292e-41,4.4987e-38,4.1435e-41,7.8178e-38,7.2006e-41,0.021
534,1.189e-39,5.9136e-41,1.5303e-39,8.4568e-41,2.0777e-39,7.8459e-41,2.6374e-39,9.2309e-41,1.0774e-38,2.6793e-40,3.9118e-38,9.728e-40,1.0844e-37,1.6979e-39,7.6205e-40,2.3162e-41,6.516e-39,6.6017e-41,3.1709e-38,2.6285e-40,6.9053e-38,5.724e-40,1.2439e-37,1.0311e-39,0.021
535,2.0577e-41,3.98e-43,2.9524e-41,6.8e-43,4.178e-41,5.38e-43,5.5689e-41,7.175e-43,2.6728e-40,2.215e-42,1.3103e-39,9.655e-42,4.5266e-39,1.6677e-41,1.1111e-41,1.64e-43,1.5928e-40,7.33e-43,9.9855e-40,2.759e-42,2.6581e-39,7.344e-42,5.4172e-39,9.979e-42,0.021
536,5.0552e-40,1.4433e-41,6.664e-40,2.3323e-41,9.344e-40,2.0655e-41,1.0738e-39,2.3737e-41,5.1349e-39,6.6213e-41,1.7272e-38,2.7043e-40,4.3385e-38,4.3955e-40,3.0714e-40,6.223e-42,2.996e-39,1.9315e-41,1.3531e-38,7.4776e-41,2.9467e-38,1.357e-40,5.1586e-38,2.3756e-40,0.021
537,7.135e-41,3.94e-43,1.0051e-40,5.55e-43,1.3671e-40,5.03e-43,1.8138e-40,6.68e-43,9.7588e-40,1.798e-42,5.0886e-39,9.373e-42,1.9204e-38,1.7687e-41,3.95e-41,1.46e-43,5.6207e-40,5.17e-43,3.8282e-39,3.526e-42,1.0879e-38,1.002e-41,2.3845e-38,2.1963e-41,0.021
538,3.2468e-40,1.495e-42,4.3277e-40,1.993e-42,5.8004e-40,1.603e-42,7.282e-40,2.012e-42,3.6868e-39,6.792e-42,1.461e-38,2.6913e-41,4.4777e-38,4.1242e-41,1.8735e-40,5.17e-43,2.1412e-39,1.972e-42,1.1467e-38,1.0562e-41,2.789e-38,2.5689e-41,5.3883e-38,4.9628e-41,0.021
539,8.5408e-41,2.046e-42,1.1033e-40,3.15e-42,1.5118e-40,2.925e-42,1.7278e-40,3.342e-42,7.7893e-40,1.0045e-41,2.3567e-39,3.473e-41,5.4638e-39,5.5355e-41,5.3591e-41,9.87e-43,4.5951e-40,2.539e-42,1.8771e-39,8.645e-42,3.8432e-39,1.7698e-41,6.4076e-39,3.541e-41,0.021
540,2.2293e-41,9.04e-43,2.7074e-41,1.546e-42,3.4368e-41,1.267e-42,4.5307e-41,1.46e-42,2.0182e-40,5.02e-42,6.2714e-40,1.5595e-41,1.5943e-39,2.6431e-41,1.3607e-41,4.13e-43,1.1775e-40,1.193e-42,5.0276e-40,4.167e-42,1.0798e-39,7.957e-42,1.8957e-39,4.13e-43,0.021
541,2.5103e-41,9.01e-43,3.2971e-41,1.488e-42,5.1018e-41,1.222e-42,6.2882e-41,1.621e-42,2.9684e-40,4.921e-42,1.2352e-39,1.934e-41,4.0976e-39,3.3966e-41,1.5224e-41,3.5e-43,1.7528e-40,1.13e-42,9.6946e-40,4.465e-42,2.4736e-39,1.1391e-41,4.8499e-39,2.2334e-41,0.021
