galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
11,1.0448E-18,4.4266E-20,8.6984E-19,4.5666E-20,6.556E-19,3.2003E-20,7.4104E-19,3.4126E-20,1.09E-18,4.0158E-20,1.4991E-18,6.0753E-20,3.5338E-18,5.2076E-20,1.2253E-18,2.7085E-20,9.0748E-19,1.3373E-20,1.4936E-18,1.7884E-20,2.7838E-18,2.3076E-20,3.4311E-18,-999.0,0.09
12,2.3793E-19,3.068E-21,2.158E-19,3.7765E-21,1.864E-19,2.4036E-21,2.1304E-19,2.3546E-21,4.618E-19,3.828E-21,1.0677E-18,6.8838E-21,2.6161E-18,7.2286E-21,2.4732E-19,1.8223E-21,3.2753E-19,1.2067E-21,9.4549E-19,1.7417E-21,1.9304E-18,3.556E-21,2.6501E-18,2.4408E-21,0.09
13,7.1212E-19,8.5265E-21,5.8742E-19,9.1976E-21,4.7485E-19,6.5602E-21,4.9176E-19,6.341E-21,7.8805E-19,7.2582E-21,1.0494E-18,9.6656E-21,2.2416E-18,8.2582E-21,8.2747E-19,5.3349E-21,6.5306E-19,2.406E-21,1.0265E-18,2.8363E-21,1.9079E-18,3.5145E-21,2.1269E-18,3.9179E-21,0.09
14,3.3296E-20,4.508E-21,5.8938E-20,6.9483E-21,4.6902E-20,4.6655E-21,5.8938E-20,5.0484E-21,1.9934E-19,9.9144E-21,7.7267E-19,2.2061E-20,2.3099E-18,2.3403E-20,2.4728E-20,2.2548E-21,1.1179E-19,2.677E-21,6.415E-19,6.4992E-21,1.4335E-18,9.2421E-21,2.4121E-18,1.1108E-20,0.09
15,1.3475E-21,4.8403E-23,1.19E-21,4.8224E-23,8.2935E-22,3.5901E-23,9.9069E-22,3.7411E-23,3.1012E-21,5.7127E-23,7.9788E-21,1.1758E-22,2.4748E-20,1.1397E-22,1.973E-21,3.0893E-23,2.1774E-21,2.0054E-23,7.21E-21,3.3203E-23,1.6809E-20,6.1926E-23,2.5394E-20,7.0167E-23,0.09
16,2.6039E-20,2.5422E-21,2.1559E-20,2.3629E-21,1.7735E-20,1.4374E-21,1.6983E-20,1.5173E-21,6.5648E-20,3.6278E-21,1.2671E-19,5.7186E-21,3.5943E-19,5.6279E-21,4.4424E-20,1.7594E-21,4.669E-20,1.1181E-21,1.162E-19,1.6054E-21,2.5776E-19,2.8489E-21,3.5943E-19,2.9795E-21,0.09
17,1.7757E-20,6.5418E-23,1.6016E-20,7.3757E-23,1.4131E-20,5.2059E-23,1.3695E-20,5.0454E-23,1.8053E-20,4.9883E-23,2.9306E-20,8.0976E-23,6.9336E-20,6.3861E-23,1.9524E-20,3.5964E-23,1.5709E-20,1.4469E-23,2.7987E-20,2.5777E-23,5.3083E-20,4.8892E-23,6.7446E-20,6.212E-23,0.09
18,8.5891E-19,3.0852E-20,7.1771E-19,3.5035E-20,5.9422E-19,2.5176E-20,6.3088E-19,2.3242E-20,7.9423E-19,2.7066E-20,1.1055E-18,3.8691E-20,2.3809E-18,3.5087E-20,8.5496E-19,1.8111E-20,6.5758E-19,1.0296E-20,1.0355E-18,1.1445E-20,1.9731E-18,1.6356E-20,2.3033E-18,1.6971E-20,0.09
19,8.5778E-21,2.7809E-21,7.0174E-21,2.7986E-21,3.8175E-21,1.6771E-21,3.9607E-21,-999.0,4.383E-20,4.3599E-21,1.5623E-19,1.1224E-20,7.3278E-19,1.4173E-20,1.1841E-20,1.5486E-21,2.0482E-20,1.2639E-21,1.395E-19,3.2121E-21,3.9028E-19,5.7514E-21,8.1091E-19,6.7219E-21,0.09
20,3.1764E-19,4.6809E-21,2.6178E-19,4.8222E-21,2.2487E-19,3.1067E-21,2.2446E-19,3.5145E-21,3.6571E-19,4.042E-21,5.4442E-19,6.5186E-21,1.2576E-18,5.7914E-21,3.7251E-19,2.7448E-21,2.9974E-19,-999.0,5.2667E-19,1.9403E-21,1.0184E-18,2.8141E-21,1.2132E-18,2.2348E-21,0.09
21,1.4618E-19,5.3854E-21,1.1463E-19,6.2289E-21,7.5803E-20,3.9098E-21,8.8407E-20,4.3156E-21,2.4985E-19,6.4435E-21,4.4636E-19,1.0278E-20,1.0987E-18,1.012E-20,1.9902E-19,4.0326E-21,1.7607E-19,2.1082E-21,4.0039E-19,3.319E-21,8.5445E-19,4.7219E-21,1.0737E-18,4.9446E-21,0.09
22,3.4699E-19,1.2784E-21,2.9398E-19,1.6246E-21,2.4679E-19,9.092E-22,2.4793E-19,1.1417E-21,4.2454E-19,1.1731E-21,7.0522E-19,1.9486E-21,1.6979E-18,1.5639E-21,3.973E-19,7.3186E-22,3.4098E-19,3.1405E-22,6.6669E-19,6.1404E-22,1.3388E-18,1.2331E-21,1.6456E-18,1.5156E-21,0.09
23,5.7369E-21,4.7555E-23,4.2489E-21,4.3048E-23,3.4441E-21,3.1722E-23,4.0428E-21,2.9788E-23,1.1681E-20,5.3793E-23,2.6006E-20,9.5811E-23,7.8683E-20,7.247E-23,7.668E-21,2.825E-23,8.1261E-21,1.4969E-23,2.3784E-20,2.1906E-23,5.4285E-20,4.9998E-23,8.0072E-20,7.3749E-23,0.09
24,5.171E-22,1.6669E-23,3.7772E-22,1.7047E-23,3.0787E-22,1.0775E-23,3.6507E-22,1.2105E-23,2.126E-21,3.1331E-23,7.7334E-21,7.1228E-23,2.6988E-20,7.4571E-23,7.899E-22,1.2368E-23,1.2917E-21,-999.0,6.3793E-21,2.3502E-23,1.6503E-20,3.04E-23,2.9294E-20,2.698E-23,0.09
25,2.2528E-21,5.3949E-23,1.6201E-21,4.924E-23,1.1501E-21,3.2837E-23,1.4439E-21,3.7236E-23,7.3035E-21,8.0721E-23,1.9246E-20,1.5953E-22,6.5513E-20,1.8102E-22,3.6604E-21,3.7085E-23,4.6723E-21,2.582E-23,1.7248E-20,4.7657E-23,4.3645E-20,8.0396E-23,6.8601E-20,6.3184E-23,0.09
26,3.2375E-20,2.9819E-22,2.4267E-20,2.9056E-22,1.9889E-20,1.8318E-22,2.354E-20,1.9513E-22,7.1025E-20,3.2708E-22,1.7531E-19,6.4587E-22,5.5337E-19,5.0967E-22,4.3113E-20,1.5884E-22,4.8597E-20,8.952E-23,1.5813E-19,1.4564E-22,3.6662E-19,3.3767E-22,5.7044E-19,5.254E-22,0.09
27,1.0748E-18,9.8996E-21,8.593E-19,1.2663E-20,7.2802E-19,8.0464E-21,7.3815E-19,8.1583E-21,1.0591E-18,9.7548E-21,1.2698E-18,1.1695E-20,2.4375E-18,1.1225E-20,1.2792E-18,5.891E-21,9.1906E-19,3.3859E-21,1.2547E-18,3.4669E-21,2.1466E-18,3.9541E-21,2.3192E-18,4.2722E-21,0.09
28,5.8164E-20,3.375E-21,4.5567E-20,3.5254E-21,3.2648E-20,2.2853E-21,3.9505E-20,2.4742E-21,1.2807E-19,3.7747E-21,2.6537E-19,6.5992E-21,7.4586E-19,7.5565E-21,8.5321E-20,2.2789E-21,8.4228E-20,-999.0,2.4404E-19,-999.0,5.1934E-19,3.3483E-21,7.5623E-19,4.1791E-21,0.09
29,2.7364E-19,2.0162E-20,2.491E-19,2.7761E-20,2.4455E-19,1.6217E-20,2.5514E-19,1.8564E-20,5.6127E-19,2.9466E-20,1.3539E-18,4.8631E-20,2.8053E-18,4.6508E-20,2.0815E-19,1.1886E-20,4.0177E-19,8.881E-21,1.1481E-18,1.3747E-20,2.2469E-18,2.0694E-20,2.8338E-18,-999.0,0.09
30,1.5719E-19,8.6867E-22,1.1451E-19,9.4918E-22,8.8803E-20,5.7254E-22,1.0112E-19,6.5193E-22,2.7876E-19,1.027E-21,5.1432E-19,1.8948E-21,1.3881E-18,1.2785E-21,2.0741E-19,5.731E-22,1.9991E-19,3.6824E-22,4.8132E-19,4.4331E-22,1.0706E-18,9.8607E-22,1.364E-18,1.2563E-21,0.09
31,7.5794E-21,6.9809E-23,4.5335E-21,7.0984E-23,3.6647E-21,4.3879E-23,4.3735E-21,4.8338E-23,2.148E-20,1.187E-22,5.234E-20,1.9283E-22,1.7476E-19,1.6096E-22,1.1242E-20,5.177E-23,1.3741E-20,3.7969E-23,4.6993E-20,4.3282E-23,1.1815E-19,1.0882E-22,1.8081E-19,1.6654E-22,0.09
32,7.4654E-19,3.4379E-21,6.7835E-19,3.7487E-21,6.198E-19,2.2834E-21,6.2727E-19,2.3109E-21,9.0251E-19,3.325E-21,1.7404E-18,4.8089E-21,4.3078E-18,3.9676E-21,7.9406E-19,2.1941E-21,7.3833E-19,1.3601E-21,1.6153E-18,1.4877E-21,3.138E-18,2.8902E-21,4.2487E-18,3.9132E-21,0.09
33,1.2031E-18,1.2189E-20,1.0527E-18,1.4543E-20,9.0593E-19,8.3439E-21,8.9022E-19,9.0191E-21,1.0401E-18,9.5801E-21,1.3387E-18,1.3563E-20,2.6687E-18,1.229E-20,1.3375E-18,7.3913E-21,9.5301E-19,3.511E-21,1.2868E-18,4.7406E-21,2.2568E-18,6.2358E-21,2.558E-18,4.712E-21,0.09
34,1.559E-19,5.4563E-21,1.2304E-19,6.0061E-21,8.9958E-20,3.6456E-21,1.0121E-19,3.7288E-21,2.4776E-19,5.9332E-21,3.9704E-19,8.7766E-21,8.8397E-19,8.1417E-21,2.1441E-19,3.9495E-21,1.8418E-19,2.0356E-21,3.6715E-19,2.7052E-21,7.1259E-19,3.9379E-21,8.6704E-19,3.9929E-21,0.09
35,6.666E-21,1.8419E-22,4.133E-21,1.9033E-22,2.6587E-21,1.0529E-22,3.6632E-21,1.1134E-22,1.6545E-20,2.5905E-22,3.1935E-20,4.4119E-22,8.8687E-20,4.0842E-22,1.0201E-20,1.5033E-22,1.0891E-20,8.0247E-23,2.9286E-20,1.3487E-22,6.4962E-20,1.795E-22,9.0087E-20,2.4892E-22,0.09
36,6.1641E-21,1.1128E-21,4.5653E-21,1.5137E-21,5.0614E-21,1.1095E-21,5.9193E-21,1.1176E-21,4.2802E-20,2.6807E-21,1.9492E-19,6.6427E-21,7.0903E-19,7.1835E-21,5.6581E-21,6.9831E-22,2.4698E-20,7.0519E-22,1.583E-19,1.8953E-21,3.947E-19,2.9083E-21,7.4725E-19,-999.0,0.09
37,1.1937E-18,4.068E-20,9.1138E-19,4.7847E-20,7.246E-19,3.3369E-20,8.1903E-19,3.1683E-20,1.2059E-18,3.8873E-20,1.5563E-18,5.447E-20,3.1835E-18,4.3981E-20,1.321E-18,2.92E-20,9.5433E-19,1.4064E-20,1.4511E-18,1.6038E-20,2.6455E-18,2.1929E-20,3.1196E-18,2.2986E-20,0.09
38,1.2893E-19,3.5625E-22,1.0596E-19,4.8798E-22,9.0689E-20,3.3411E-22,9.136E-20,2.5244E-22,1.4163E-19,3.9134E-22,1.9497E-19,5.3871E-22,4.1875E-19,3.8569E-22,1.512E-19,2.7852E-22,1.1867E-19,1.093E-22,1.8913E-19,1.7419E-22,3.5609E-19,3.2797E-22,3.9733E-19,3.6596E-22,0.09
39,5.4727E-20,2.5203E-22,4.5772E-20,2.5295E-22,3.9319E-20,1.8107E-22,4.0644E-20,1.4974E-22,6.702E-20,2.4691E-22,1.1153E-19,3.0818E-22,2.7077E-19,2.4939E-22,6.5313E-20,1.2031E-22,5.3877E-20,4.9622E-23,1.0495E-19,9.6667E-23,2.0184E-19,1.859E-22,2.6878E-19,2.4756E-22,0.09
40,5.9854E-19,4.4102E-21,5.1085E-19,4.7051E-21,4.352E-19,3.2067E-21,4.2805E-19,2.7597E-21,7.1366E-19,3.9438E-21,1.1135E-18,6.1535E-21,2.6055E-18,4.7995E-21,6.9613E-19,2.5647E-21,5.8062E-19,1.0695E-21,1.0585E-18,1.9498E-21,2.1296E-18,1.9614E-21,2.4905E-18,2.2939E-21,0.09
41,6.3168E-19,3.6653E-20,5.7929E-19,3.7348E-20,3.9564E-19,2.5872E-20,3.9165E-19,2.5611E-20,7.6788E-19,3.607E-20,1.3017E-18,5.8745E-20,3.2011E-18,4.7173E-20,7.226E-19,2.0632E-20,5.9882E-19,-999.0,1.2627E-18,-999.0,2.5194E-18,2.3204E-20,3.2726E-18,2.4114E-20,0.09
42,3.9388E-19,1.4511E-21,3.2164E-19,1.4812E-21,2.8091E-19,1.0349E-21,2.791E-19,1.0283E-21,4.5895E-19,1.2681E-21,6.8512E-19,1.893E-21,1.5826E-18,1.4576E-21,4.5726E-19,8.4231E-22,3.7339E-19,3.4391E-22,6.6034E-19,6.0819E-22,1.2734E-18,1.1728E-21,1.5253E-18,1.4049E-21,0.09
43,1.7701E-19,4.0757E-21,1.2601E-19,4.294E-21,1.0214E-19,2.9163E-21,1.1334E-19,3.1317E-21,3.1332E-19,4.6173E-21,6.0868E-19,8.4092E-21,1.6474E-18,7.5864E-21,2.3746E-19,2.6245E-21,2.2263E-19,1.4354E-21,5.5769E-19,2.5682E-21,1.1978E-18,3.3097E-21,1.6718E-18,4.6194E-21,0.09
44,6.9253E-21,6.2508E-22,5.7232E-21,5.9038E-22,3.555E-21,3.7326E-22,4.5545E-21,4.5304E-22,2.0895E-20,9.8148E-22,5.5877E-20,1.6469E-21,1.7524E-19,1.614E-21,1.0511E-20,4.1628E-22,1.3691E-20,2.7742E-22,4.8177E-20,5.3247E-22,1.1957E-19,7.7092E-22,1.8148E-19,8.3576E-22,0.09
45,9.1682E-19,1.6888E-21,8.0888E-19,2.235E-21,7.0062E-19,1.9359E-21,6.6663E-19,1.842E-21,7.8394E-19,2.1661E-21,9.4077E-19,2.5994E-21,1.8445E-18,1.6989E-21,1.0296E-18,9.4833E-22,7.2158E-19,6.646E-22,9.2445E-19,8.5145E-22,1.5801E-18,1.4553E-21,1.7534E-18,1.6149E-21,0.09
46,2.5827E-18,4.2818E-20,2.3511E-18,4.9805E-20,1.9809E-18,3.2841E-20,1.8796E-18,2.7699E-20,2.0667E-18,3.2359E-20,2.2474E-18,4.1398E-20,3.8342E-18,2.8251E-20,2.922E-18,2.4221E-20,1.97E-18,1.0887E-20,2.2247E-18,1.2294E-20,3.5324E-18,1.6267E-20,3.5816E-18,1.6494E-20,0.09
47,5.1801E-21,1.1928E-22,3.2534E-21,1.2585E-22,2.3011E-21,8.0537E-23,3.2236E-21,8.6102E-23,1.5615E-20,1.7258E-22,4.3968E-20,3.6446E-22,1.5876E-19,4.3867E-22,7.8838E-21,8.7135E-23,1.0091E-20,5.5765E-23,3.9259E-20,1.0848E-22,1.0166E-19,1.8726E-22,1.6809E-19,1.5481E-22,0.09
48,2.1643E-19,9.1698E-21,1.8781E-19,1.1417E-20,1.7431E-19,6.743E-21,1.7496E-19,7.2513E-21,3.1371E-19,9.246E-21,6.2421E-19,1.6673E-20,1.6524E-18,1.522E-20,2.469E-19,5.4578E-21,2.4151E-19,3.3365E-21,5.8523E-19,4.8512E-21,1.2104E-18,6.6889E-21,1.6238E-18,7.4778E-21,0.09
49,3.0331E-20,2.1231E-21,2.385E-20,2.2186E-21,1.4993E-20,1.3533E-21,1.9085E-20,1.5117E-21,8.2619E-20,3.4243E-21,1.9529E-19,5.9357E-21,5.7475E-19,5.8231E-21,4.7237E-20,1.5662E-21,5.4737E-20,9.5788E-22,1.6978E-19,1.7201E-21,3.9947E-19,2.5755E-21,5.9523E-19,2.7411E-21,0.09
50,-999.0,-999.0,3.0101E-22,1.3529E-22,-999.0,-999.0,1.7562E-22,-999.0,1.5754E-21,2.7713E-22,9.4315E-21,7.6443E-22,4.9543E-20,9.1261E-22,1.8054E-22,5.5706E-23,9.7315E-22,7.4394E-23,9.5451E-21,2.022E-22,2.6902E-20,3.4689E-22,5.3825E-20,4.4617E-22,0.09
51,7.2175E-20,3.1243E-21,5.5409E-20,3.062E-21,4.8706E-20,2.0636E-21,4.6772E-20,2.1108E-21,1.2965E-19,3.1048E-21,2.295E-19,4.8617E-21,5.67E-19,5.2223E-21,1.0442E-19,2.0197E-21,9.3666E-20,1.2078E-21,2.0758E-19,1.5295E-21,4.438E-19,2.4525E-21,5.5665E-19,2.5635E-21,0.09
52,2.1205E-19,1.4648E-20,1.4916E-19,1.731E-20,1.2579E-19,1.0079E-20,1.2754E-19,1.0807E-20,3.8339E-19,1.7656E-20,5.9765E-19,2.7523E-20,1.6355E-18,2.7114E-20,3.1106E-19,9.4544E-21,2.6209E-19,5.3106E-21,5.8728E-19,8.6545E-21,1.2293E-18,1.2454E-20,1.631E-18,1.352E-20,0.09
53,8.9033E-19,2.4601E-21,8.0455E-19,2.9641E-21,7.0917E-19,1.9595E-21,6.8541E-19,1.8939E-21,8.7731E-19,2.4241E-21,1.2565E-18,2.3145E-21,2.7287E-18,2.5132E-21,9.4788E-19,1.7461E-21,7.7402E-19,7.129E-22,1.2177E-18,1.1216E-21,2.3012E-18,2.1195E-21,2.5725E-18,2.3693E-21,0.09
54,1.4132E-19,1.1194E-20,1.0661E-19,1.2864E-20,9.7144E-20,8.2315E-21,8.738E-20,8.2895E-21,2.5717E-19,1.3264E-20,5.0329E-19,2.2714E-20,1.3977E-18,2.1885E-20,1.924E-19,7.9745E-21,1.8324E-19,4.388E-21,4.5145E-19,7.0687E-21,9.8223E-19,9.9514E-21,1.4093E-18,-999.0,0.09
55,8.5887E-20,3.2433E-21,8.0822E-20,4.3919E-21,7.6125E-20,2.6643E-21,7.2833E-20,2.5491E-21,1.2043E-19,3.3276E-21,2.5277E-19,6.0531E-21,5.8658E-19,5.4026E-21,8.1345E-20,1.948E-21,9.6456E-20,1.1549E-21,2.4453E-19,1.8018E-21,4.5786E-19,2.5302E-21,5.8875E-19,2.7113E-21,0.09
56,1.1729E-19,6.4819E-22,8.5285E-20,7.0696E-22,6.6754E-20,4.9186E-22,7.6997E-20,4.9642E-22,2.0974E-19,9.6587E-22,4.082E-19,1.1279E-21,1.0767E-18,9.9163E-22,1.5866E-19,4.384E-22,1.4958E-19,2.7554E-22,3.7228E-19,3.4289E-22,7.8646E-19,7.2435E-22,1.0916E-18,1.0054E-21,0.09
57,3.1115E-19,7.7376E-21,2.7731E-19,7.9178E-21,2.2355E-19,5.765E-21,2.2582E-19,5.6157E-21,3.4719E-19,7.3548E-21,4.945E-19,1.002E-20,1.0351E-18,9.5333E-21,3.6322E-19,4.349E-21,2.9172E-19,2.6868E-21,4.7094E-19,3.0363E-21,8.8423E-19,3.2576E-21,9.8122E-19,4.5187E-21,0.09
58,2.7378E-20,1.6895E-21,1.8139E-20,1.5871E-21,1.1561E-20,1.0222E-21,1.5596E-20,1.0486E-21,7.5615E-20,2.5768E-21,1.4289E-19,3.8166E-21,4.1173E-19,3.4129E-21,4.7754E-20,1.2755E-21,4.7578E-20,7.0114E-22,1.3446E-19,1.1146E-21,2.9526E-19,1.6317E-21,4.1439E-19,1.9083E-21,0.09
59,7.145E-19,9.2131E-21,5.7491E-19,1.0061E-20,4.9069E-19,4.9713E-21,4.844E-19,6.2461E-21,7.8127E-19,7.1958E-21,1.0529E-18,1.0668E-20,2.31E-18,1.0638E-20,8.1809E-19,5.2744E-21,6.3797E-19,2.938E-21,1.0261E-18,3.7804E-21,1.9535E-18,5.3976E-21,2.1938E-18,4.0412E-21,0.09
60,2.9696E-19,2.7351E-21,2.5888E-19,3.0997E-21,2.2735E-19,2.094E-21,2.1893E-19,2.0164E-21,2.5651E-19,2.3625E-21,3.0585E-19,2.817E-21,5.9307E-19,2.1849E-21,3.2322E-19,1.4885E-21,2.3763E-19,8.7547E-22,3.05E-19,8.4275E-22,5.3199E-19,9.7996E-22,5.5604E-19,1.0243E-21,0.09
61,6.0768E-20,3.3582E-22,5.6503E-20,3.6429E-22,5.3762E-20,2.971E-22,5.3712E-20,2.9683E-22,8.7031E-20,4.0079E-22,1.9828E-19,7.3048E-22,5.1153E-19,4.7114E-22,6.2355E-20,2.2973E-22,6.7682E-20,1.2468E-22,1.795E-19,1.6533E-22,3.5717E-19,3.2896E-22,5.1059E-19,4.7027E-22,0.09
62,1.8514E-19,1.637E-20,2.551E-19,1.9501E-20,1.7042E-19,1.2557E-20,2.0004E-19,1.5476E-20,3.2442E-19,1.8227E-20,6.63E-19,2.809E-20,1.953E-18,3.058E-20,2.4317E-19,9.4067E-21,2.6008E-19,5.5095E-21,6.8535E-19,9.4684E-21,1.4266E-18,1.314E-20,1.9423E-18,1.61E-20,0.09
63,1.2714E-18,3.5131E-20,1.1735E-18,3.783E-20,9.9425E-19,2.8388E-20,9.7073E-19,2.5928E-20,1.3071E-18,2.7689E-20,1.8875E-18,4.1724E-20,4.2805E-18,3.5483E-20,1.4774E-18,2.0411E-20,1.1104E-18,9.2048E-21,1.8395E-18,1.186E-20,3.2741E-18,1.8094E-20,4.1409E-18,1.907E-20,0.09
64,7.1053E-22,-999.0,1.8879E-20,4.6601E-21,4.9795E-21,-999.0,1.6054E-20,4.6429E-21,7.3924E-20,8.3746E-21,3.3946E-19,2.2198E-20,1.4256E-18,2.3634E-20,1.0204E-20,1.9455E-21,4.6343E-20,-999.0,3.4228E-19,6.6203E-21,8.4175E-19,1.0079E-20,1.49E-18,1.2351E-20,0.09
65,3.9861E-19,4.7728E-21,3.261E-19,5.1059E-21,2.7249E-19,3.2626E-21,2.809E-19,3.3633E-21,4.3068E-19,4.76E-21,5.6565E-19,5.7309E-21,1.2341E-18,4.5466E-21,4.731E-19,3.0502E-21,3.5987E-19,1.3258E-21,5.6098E-19,2.0667E-21,1.0369E-18,2.8652E-21,1.1699E-18,2.155E-21,0.09
66,6.1277E-21,1.2981E-22,4.2393E-21,1.2495E-22,3.3892E-21,7.8039E-23,5.144E-21,9.4755E-23,3.5359E-20,2.6053E-22,1.4077E-19,6.4825E-22,4.8944E-19,9.0158E-22,8.1226E-21,8.9775E-23,2.0403E-20,7.5168E-23,1.1569E-19,2.1311E-22,3.057E-19,2.8156E-22,5.3715E-19,4.9474E-22,0.09
67,7.1778E-21,5.2888E-23,5.4599E-21,6.0346E-23,4.2893E-21,3.9506E-23,5.0349E-21,4.1736E-23,1.5205E-20,7.0022E-23,3.6609E-20,1.3487E-22,1.1117E-19,1.0239E-22,9.4273E-21,3.4732E-23,1.049E-20,1.9324E-23,3.3021E-20,3.0413E-23,7.6982E-20,7.0903E-23,1.1313E-19,1.042E-22,0.09
68,1.2815E-20,1.2984E-22,8.3585E-21,1.3857E-22,6.0107E-21,8.3041E-23,7.609E-21,9.1106E-23,3.6655E-20,2.0256E-22,9.4739E-20,4.3629E-22,3.1458E-19,2.8974E-22,1.9849E-20,9.1406E-23,2.3536E-20,6.5032E-23,8.2742E-20,7.6209E-23,2.0367E-19,1.8759E-22,3.3337E-19,3.0705E-22,0.09
69,8.4627E-20,9.0416E-21,1.4911E-19,1.3047E-20,1.3363E-19,9.4771E-21,1.5556E-19,1.003E-20,4.0767E-19,1.5395E-20,1.4032E-18,3.8771E-20,3.8433E-18,3.5398E-20,6.0243E-20,4.1615E-21,2.4295E-19,4.699E-21,1.1866E-18,1.0929E-20,2.4883E-18,1.6043E-20,3.9365E-18,1.8128E-20,0.09
70,9.2203E-20,1.0191E-21,6.7228E-20,1.1765E-21,5.3549E-20,6.9048E-22,6.1937E-20,7.4159E-22,1.6609E-19,1.2238E-21,3.2475E-19,1.7946E-21,9.0604E-19,2.5035E-21,1.2222E-19,6.7542E-22,1.1824E-19,4.356E-22,3.014E-19,5.552E-22,6.6244E-19,1.2203E-21,9.0354E-19,8.3219E-22,0.09
