galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
41,3.83001167E-16,5.99687084E-18,3.99944420E-16,6.99888518E-18,5.22877250E-16,5.77905268E-18,5.00264488E-16,5.52912709E-18,5.06290545E-16,6.06204027E-18,5.13807168E-16,6.62527416E-18,2.53046196E-16,2.79676941E-18,5.16843000000000E-02
42,3.19447809E-16,5.59022306E-18,3.16810466E-16,6.71124387E-18,3.60744582E-16,4.98387031E-18,3.35737788E-16,4.94761457E-18,2.73149120E-16,4.52843294E-18,2.59656838E-16,5.26136045E-18,8.46447634E-17,1.79309616E-18,6.10675000000000E-02
43,5.59757012E-16,6.70221809E-18,5.72796184E-16,8.44103653E-18,7.07945796E-16,6.52042075E-18,6.59477777E-16,6.68141533E-18,5.69115137E-16,6.29009231E-18,4.46683566E-16,6.58257221E-18,2.58940301E-16,2.86191360E-18,3.15115000000000E-02
44,1.88104643E-16,3.81151715E-18,1.96607332E-16,5.07029704E-18,2.37903047E-16,3.72498538E-18,2.26777507E-16,3.96852596E-18,2.04173719E-16,3.76101861E-18,1.83822958E-16,4.23267947E-18,1.02801504E-16,1.79898983E-18,4.20100000000000E-02
45,3.77050920E-16,5.20915006E-18,4.14571515E-16,7.63668858E-18,4.89327493E-16,5.40824705E-18,4.87079520E-16,5.38340186E-18,4.75116133E-16,6.12637341E-18,6.17731440E-16,7.96532413E-18,3.52533154E-16,3.24694984E-18,4.27456000000000E-02
46,8.97841583E-16,8.26942633E-18,8.97015620E-16,9.91418316E-18,1.04616425E-15,8.67197543E-18,1.01018229E-15,8.37370981E-18,8.93717168E-16,7.40829491E-18,1.04423810E-15,9.61778780E-18,4.67734823E-16,3.87719695E-18,2.84617000000000E-02
47,2.37464999E-16,4.15555315E-18,2.16570628E-16,4.78725361E-18,2.45019050E-16,4.06207554E-18,2.22023866E-16,4.08983034E-18,1.73780138E-16,3.36120561E-18,1.50799420E-16,3.75006756E-18,7.35868079E-17,1.49107081E-18,2.80637000000000E-02
48,5.43000159E-16,7.00170255E-18,5.50047155E-16,8.61240767E-18,6.61301492E-16,6.69989289E-18,6.29795731E-16,6.96075877E-18,5.78628747E-16,5.86230427E-18,5.56159716E-16,7.17138790E-18,3.25386886E-16,3.29661604E-18,4.12191000000000E-02
49,2.83922453E-16,4.96854224E-18,2.90001397E-16,6.67752840E-18,3.63077894E-16,5.01610554E-18,3.44825922E-16,4.44634974E-18,3.26287256E-16,5.10886847E-18,2.83922453E-16,5.23004464E-18,1.51495641E-16,2.09298925E-18,4.49153000000000E-02
50,2.24284636E-16,4.13147558E-18,2.26777507E-16,5.84835387E-18,2.82878432E-16,4.42919112E-18,2.79511502E-16,4.11903354E-18,2.84970338E-16,4.72441229E-18,3.08176871E-16,5.39298598E-18,1.98609308E-16,2.37803714E-18,4.00673000000000E-02
51,1.15027101E-16,3.28426003E-18,1.21562608E-16,3.91871521E-18,1.42560780E-16,3.15127958E-18,1.37657545E-16,2.91610738E-18,1.25892548E-16,2.89878270E-18,1.03848463E-16,3.15638308E-18,5.95388061E-17,1.31609440E-18,3.00325000000000E-02
52,4.54568860E-16,6.69877454E-18,4.81725425E-16,7.54265386E-18,5.91561722E-16,6.53818115E-18,5.58727443E-16,6.17528378E-18,4.89327493E-16,5.85893434E-18,4.05134853E-16,5.97028733E-18,2.26568820E-16,2.50413111E-18,2.83391000000000E-02
53,6.64966339E-16,7.96193600E-18,6.76706162E-16,9.34904013E-18,7.62780909E-16,7.02547159E-18,7.31138988E-16,6.73403849E-18,6.64966339E-16,6.73702296E-18,7.67714506E-16,7.77800329E-18,4.05134853E-16,3.35828629E-18,2.93881000000000E-02
54,2.84446184E-16,5.23969163E-18,2.83922453E-16,6.01455142E-18,3.44191123E-16,4.75517555E-18,3.24787849E-16,4.48710989E-18,2.89734052E-16,4.53653352E-18,2.73400715E-16,5.03622629E-18,1.65805892E-16,2.44340592E-18,4.01550000000000E-02
55,3.58096546E-16,5.93674309E-18,3.49944727E-16,7.09084119E-18,4.50816769E-16,5.39782871E-18,4.33310848E-16,5.18822239E-18,4.20339306E-16,5.42005547E-18,4.37723122E-16,6.45052606E-18,2.44567899E-16,2.92831987E-18,4.44805000000000E-02
56,4.69461076E-16,6.48584419E-18,4.61317489E-16,8.07289152E-18,5.12861138E-16,5.66835027E-18,4.83949363E-16,5.34880585E-18,4.20726453E-16,5.42504709E-18,4.54568860E-16,6.69877454E-18,2.06252721E-16,2.84948646E-18,4.76183000000000E-02
57,3.33887365E-16,5.22786708E-18,3.15355131E-16,6.38996155E-18,3.94820480E-16,5.09100302E-18,3.75664485E-16,4.84399655E-18,3.55795237E-16,4.91549225E-18,3.33887365E-16,5.84291020E-18,2.10087319E-16,2.51546824E-18,3.76379000000000E-02
58,2.75676587E-16,4.57033460E-18,2.62542838E-16,5.56164976E-18,2.89734052E-16,4.26967885E-18,2.58702020E-16,4.52719341E-18,1.92841159E-16,3.72987856E-18,1.55310042E-16,3.71919139E-18,7.21771928E-17,1.52898577E-18,3.39519000000000E-02
59,1.50522056E-16,3.74317012E-18,1.44277795E-16,4.11942728E-18,1.88799250E-16,3.30392005E-18,1.83147026E-16,3.54237740E-18,1.75873157E-16,3.23970312E-18,1.63681639E-16,3.76890867E-18,9.82651591E-17,1.81011086E-18,2.34649000000000E-02
