ID,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
69,1.84671683E-27,2.72142267E-29,2.06063045E-27,3.98561241E-29,2.88137917E-27,3.45000287E-29,3.11315193E-27,3.72751433E-29,4.0476195E-27,5.21919311E-29,6.20011045E-27,9.70787137E-29,5.93744557E-27,7.10916534E-29,3.06263000000000E-02
70,2.57039502E-27,3.31438972E-29,2.7466282E-27,4.55352793E-29,3.70168473E-27,3.06843943E-29,3.87614394E-27,4.28407227E-29,5.1665378E-27,5.71026793E-29,7.80548283E-27,1.00647612E-28,8.11334042E-27,8.21992798E-29,3.08979000000000E-02
71,2.23048899E-27,2.87609892E-29,2.45471077E-27,4.29565704E-29,3.1275134E-27,3.45665515E-29,3.1885935E-27,3.52416321E-29,3.80540107E-27,4.55637529E-29,6.03115208E-27,9.44332382E-29,5.47015873E-27,7.05348249E-29,3.58944000000000E-02
72,1.14815219E-27,2.11497441E-29,1.25083613E-27,2.99536273E-29,1.89670531E-27,2.79508829E-29,2.05873533E-27,2.65463142E-29,3.09599267E-27,4.27727103E-29,4.72933283E-27,7.40498999E-29,5.10034629E-27,6.10686987E-29,4.17500000000000E-02
73,1.99893829E-27,2.76163518E-29,2.20596863E-27,4.06354366E-29,2.95665318E-27,2.99549604E-29,3.08176871E-27,3.40609648E-29,3.93368842E-27,5.07228558E-29,5.80764329E-27,1.01631696E-28,5.78094913E-27,6.9217862E-29,3.25962000000000E-02
74,4.83504558E-27,4.45324114E-29,4.8439507E-27,5.35373196E-29,5.34563927E-27,4.43116367E-29,5.28201078E-27,4.86491138E-29,5.38021549E-27,5.45089753E-29,1.00369153E-26,1.20176428E-28,6.26326246E-27,6.92241333E-29,2.96712000000000E-02
75,2.11251827E-27,2.91855153E-29,2.27823877E-27,3.98683718E-29,2.64971791E-27,3.17262442E-29,2.69401411E-27,3.47379021E-29,2.96756145E-27,4.37316007E-29,5.05358894E-27,8.37814855E-29,3.59087712E-27,5.62244432E-29,2.87684000000000E-02
76,2.41212345E-27,3.11030674E-29,2.61095588E-27,4.32860218E-29,3.55795065E-27,3.60469266E-29,3.72220128E-27,3.77110113E-29,5.11445488E-27,5.65270369E-29,8.49571918E-27,1.01723009E-28,8.62978316E-27,8.74315621E-29,3.69918000000000E-02
77,5.33089281E-27,4.9099336E-29,5.38021549E-27,6.44197025E-29,5.79162225E-27,4.26742502E-29,5.70688557E-27,4.73061177E-29,6.09817791E-27,6.17829178E-29,1.3905926E-26,1.40886133E-28,7.84874461E-27,7.95185599E-29,3.20785000000000E-02
78,6.63743791E-27,4.89064511E-29,7.7911154E-27,7.17588136E-29,1.03086024E-26,5.69674429E-29,1.11378308E-26,6.15499284E-29,1.54881853E-26,9.9856013E-29,2.87078193E-26,1.85086141E-28,2.8157897E-26,1.55606292E-28,2.60010000000000E-02
79,1.42692082E-27,2.49706071E-29,1.74582064E-27,3.53751231E-29,2.40546936E-27,3.10172673E-29,2.50495481E-27,3.23000811E-29,3.05632756E-27,4.50397044E-29,3.89761844E-27,6.82069474E-29,3.86900875E-27,5.70158199E-29,2.19920000000000E-02
80,1.08043803E-27,2.18926415E-29,1.19894493E-27,2.98152643E-29,1.75873014E-27,2.75374549E-29,1.93018837E-27,3.02220749E-29,2.88668645E-27,4.51985184E-29,4.85288355E-27,7.59844002E-29,1.46824839E-27,3.24553592E-29,7.76302000000000E-02
81,3.0619636E-27,3.94824185E-29,3.4355813E-27,5.06285996E-29,4.05508325E-27,4.10835644E-29,4.22279361E-27,4.27826981E-29,4.98424507E-27,5.50879098E-29,1.00276632E-26,1.20065638E-28,6.23447405E-27,7.46481058E-29,4.47046000000000E-02
